HUD AMP #,TDS #,CONSOLIDATED TDS #,DEVELOPMENT EDP #,OPERATING EDP #,HUD #,DEVELOPMENT NAME,METHOD,TYPE,PROGRAM,# OF SECTION 8 TRANSITION UNITS,# OF CURRENT UNITS,TOTAL NUMBER OF UNITS,NUMBER OF RENTAL ROOMS,AVG. NO. R/R PER UNIT,POPULATION - SECTION 8 TRANSITION,POPULATION - PUBLIC HOUSING,TOTAL POPULATION,# OF RESIDENTIAL BUILDINGS,# OF NON-RESIDENTIAL BUILDINGS,# OF STAIRHALLS,# OF STORIES,TOTAL AREA - SQ. FT.,ACRES,NET DEV. AREA - SQ. FT.,(EXCLUDING PARK) ACRES,BLDG. COVERAGE - SQ. FT.,CUBAGE - CU. FT.,BLDG/LAND COVERAGE - %,DENSITY (POPULATION/ACRE),DEVELOPMENT COST,COST PER RENTAL ROOM (AS BUILT),AVG. MONTHLY GROSS RENT,LOCATION,BOROUGH,COMMUNITY DISTRICT,US CONGRESSIONAL DISTRICT,NEW YORK STATE SENATE DISTRICT,NEW YORK STATE ASSEMBLY DISTRICT,NEW YORK CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,# OF FAMILIES ON FIXED INCOME,% OF FAMILIES ON FIXED INCOME,YEAR
NY005010470,040,040,579,579,NY005267A,GUN HILL,CONVENTIONAL,NEW CONST,FEDERAL,0,727,733,"3,105.50",4.27,0,"1,359","1,359",6,0,6,14,"345,256",7.93,"314,070",7.21,"54,684","6,221,645",15.84%,171,"$8,709,286","$2,784",$616,HOLLAND AVE WHITE PLAINS RD GUN HILL RD MAGENTA ST,BRONX,12,15,36,83,12,11/30/1950,1980/07/01-ATP 5,,,,317,45.03%,2024
NY005013410,347,341,772,762,NY005231,HARRISON AVENUE REHAB (GROUP A),TURNKEY,REHAB,FEDERAL,0,34,34,146,4.29,0,69,69,1,0,1,5,"9,167",0.21,"9,167",0.21,"6,698","404,958",73.07%,329,"$2,368,803","$16,225",$494,HARRISON AVE W BURNSIDE AVE GRAND AVE KINGSLAND PL,BRONX,5,13,33,86,14,9/1/1986,,,YES,YES,21,63.64%,2024
NY005013410,547,341,773,762,NY005287,HARRISON AVENUE REHAB (GROUP B),TURNKEY,REHAB,FEDERAL,0,141,150,628.5,4.46,0,299,299,4,0,4,5–6,"44,753",1.03,"44,753",1.03,"29,954","1,856,310",66.93%,290,"$10,059,298","$15,150",$530,UNIVERSITY PL W BURNSIDE AVE GRAND AVE KINGSLAND PL,BRONX,5,13,"31, 33",86,14,12/1/1986,,,YES,YES,60,43.17%,2024
NY005000780,078,078,229,229,NY005026,HIGHBRIDGE GARDENS,CONVENTIONAL,NEW CONST,FEDERAL,0,698,700,"3,243.00",4.65,0,"1,437","1,437",6,0,6,13–14,"496,875",11.41,"496,875",11.41,"55,678","5,837,785",10.12%,126,"$7,547,875","$2,321",$608,SEDGWICK AVE W 167TH ST UNIVERSITY AVE,BRONX,4,15,29,77,16,6/18/1954,,,,,268,40.36%,2024
NY005015300,215,530,333,748,NY005164,HOE AVENUE-EAST 173RD STREET,TURNKEY,NEW CONST,FEDERAL,0,63,65,262.5,4.17,0,143,143,1,0,1,6,"22,000",0.51,"22,000",0.51,"9,242","602,580",42.01%,280,"$1,583,566","$5,801",$633,HOE AVE E 173RD ST E 174TH ST VYSE AVE,BRONX,3,15,32,79,17,12/31/1970,,,,YES,12,19.05%,2024
NY005015300,367,530,806,748,NY005299,HUNTS POINT AVENUE REHAB,TURNKEY,REHAB,FEDERAL,0,128,131,592,4.63,0,321,321,13,0,13,4–5,"58,206",1.34,"58,206",1.34,"35,180","1,540,888",60.44%,240,"$13,280,604","$21,933",$605,LAFAYETTE AVE HUNTS POINT AVE SENECA AVE IRVINE ST,BRONX,2,14,29,85,17,11/30/1991,,,YES,YES,36,28.13%,2024
NY005012670,120,267,243,243,NY005043,JACKSON,CONVENTIONAL,NEW CONST,FEDERAL,0,864,868,"4,114.00",4.76,0,"1,915","1,915",7,1,7,16,"343,403",7.88,"343,403",7.88,"59,552","7,682,714",17.34%,243,"$14,850,303","$3,590",$530,PARK AVE COURTLANDT AVE E 158TH ST E 156TH ST,BRONX,1,15,29,79,17,7/31/1963,,,,,317,38.71%,2024
NY005015300,362,530,794,748,NY005295,LONGFELLOW AVENUE REHAB,TURNKEY,REHAB,FEDERAL,0,75,75,412.5,5.5,0,255,255,2,0,2,5,"26,724",0.61,"26,724",0.61,"16,773","1,060,415",62.76%,418,"$7,044,209","$17,077",$740,WESTCHESTER AVE WHITLOCK AVE E 165TH ST BRYANT AVE,BRONX,2,14,32,85,17,10/31/1990,,,YES,YES,16,21.62%,2024
NY005020490,049,049,638,638,NY005379,MARBLE HILL,CONVENTIONAL,NEW CONST,MIXED FINANCE/LLC1,257,"1,682","1,682","7,120.00",4.23,470,"2,516","2,986",11,1,11,14–15,"724,809",16.64,"652,495",14.98,"111,631","13,300,359",15.40%,179,"$17,882,055","$2,539",$549,EXTERIOR ST W 225TH ST BROADWAY W 230TH ST,BRONX,8,13,31,"72, 81","10, 14",3/6/1952,,,,,804,50.38%,2024
NY005000590,103,059,236,236,NY005031,MCKINLEY,CONVENTIONAL,NEW CONST,FEDERAL,0,615,619,"2,925.50",4.76,0,"1,287","1,287",5,1,5,16,"289,985",6.66,"233,735",5.37,"41,286","5,580,675",14.24%,193,"$10,418,410","$3,535",$566,E 161ST ST E 163RD ST TINTON AVE KINGSLAND PL,BRONX,3,15,32,79,17,7/31/1962,,,,,254,43.34%,2024
NY005010280,028,028,523,523,NY005216B,MELROSE,CONVENTIONAL,NEW CONST,FEDERAL,0,"1,019","1,023","4,846.50",4.76,0,"2,188","2,188",8,1,8,14,"541,687",12.44,"498,060",11.43,"68,826","8,736,312",12.71%,176,"$12,236,000","$2,515",$552,MORRIS AVE E 153RD ST COURTLANDT AVE E 156TH ST,BRONX,1,15,29,79,17,6/20/1952,1978/02/01-ATP 2,,,,402,40.57%,2024
NY005010340,191,034,302,313,NY005096B,MIDDLETOWN PLAZA,CONVENTIONAL,NEW CONST (ELD),FEDERAL,0,159,179,543.5,3.42,0,167,167,1,0,1,15,"49,309",1.13,"49,309",1.13,"10,076","1,078,917",20.43%,148,"$6,090,291","$9,776",$374,ROBERTS AVE JARVIS AVE MIDDLETOWN RD HOBART AVE,BRONX,10,14,34,82,13,8/31/1973,,EXCLUSIVELY,,,141,92.76%,2024
NY005010840,084,084,570,570,NY005244C,MILL BROOK,CONVENTIONAL,NEW CONST,FEDERAL,0,"1,249","1,255","5,789.50",4.64,0,"2,628","2,628",9,0,9,16,"507,592",11.65,"463,332",10.64,"76,410","10,446,587",14.17%,226,"$22,176,000","$3,898",$499,E 135TH ST BROOK AVE E 137TH ST CYPRESS AVE,BRONX,1,15,29,84,08,5/26/1959,1979/08/01-ATP 4,,,,507,42.57%,2024
NY005010840,132,084,570,570,NY005244C,MILL BROOK EXTENSION,CONVENTIONAL,NEW CONST,FEDERAL,0,122,125,598,4.9,0,269,269,1,0,1,16,"22,500",0.52,"22,500",0.52,"8,660","1,130,657",38.49%,517,"$1,957,000","$3,198",$453,CYPRESS AVE E 135TH ST E 137TH ST,BRONX,1,15,29,84,08,1/31/1962,1979/08/01-ATP 4,,,,53,45.69%,2024
NY005011450,145,145,249,249,NY005050,MITCHEL,CONVENTIONAL,NEW CONST,FEDERAL,0,"1,726","1,732","7,525.00",4.36,0,"3,619","3,619",10,1,10,17–19–20,"699,494",16.06,"653,938",15.01,"97,114","14,044,919",13.88%,225,"$33,012,851","$4,350",$587,LINCOLN AVE E 138TH ST WILLIS AVE E 135TH ST,BRONX,1,15,29,84,08,2/28/1966,,PARTIALLY (1 BUILDING),,,649,40.09%,2024
NY005000880,088,088,234,234,NY005036,MONROE,CONVENTIONAL,NEW CONST,FEDERAL,0,"1,099","1,102","5,295.50",4.82,0,"2,425","2,425",12,1,18,8–14–15,"805,341",18.49,"805,341",18.49,"118,402","10,177,348",14.70%,131,"$16,449,659","$3,100",$603,SOUNDVIEW AVE STORY AVE TAYLOR AVE LAFAYETTE AVE,BRONX,9,14,34,85,18,11/2/1961,,,,,469,45.01%,2024
NY005010930,129,093,251,251,NY005080,MOORE,CONVENTIONAL,NEW CONST,FEDERAL,0,445,463,"2,085.50",4.69,0,"1,010","1,010",2,0,4,20,"117,000",2.69,"117,000",2.69,"21,826","4,029,275",18.65%,375,"$7,256,661","$3,350",$570,E 147TH ST E 149TH ST JACKSON AVE TRINITY AVE,BRONX,1,15,29,84,08,3/31/1964,,,,,174,39.28%,2024
NY005011020,102,102,239,239,NY005037,MORRIS I,CONVENTIONAL,NEW CONST,FEDERAL,0,"1,082","1,085","5,234.00",4.84,0,"2,625","2,625",10,0,10,16–20,"416,831",9.57,"416,831",9.57,"66,594","9,980,542",15.98%,274,"$20,735,295","$4,008",$544,PARK AVE E 170TH ST THIRD AVE E 169TH ST,BRONX,3,15,32,79,16,8/31/1965,,,,,406,39.42%,2024
NY005011020,502,102,280,239,NY005079,MORRIS II,CONVENTIONAL,NEW CONST,FEDERAL,0,800,802,"3,758.00",4.7,0,"1,808","1,808",7,0,7,16–20,"358,843",8.24,"313,704",7.2,"51,875","7,162,265",14.46%,219,"$15,391,181","$4,008",$542,PARK AVE E 171ST ST THIRD AVE E 170TH ST,BRONX,3,15,32,79,16,8/31/1965,,,,,335,43.73%,2024
NY005011410,130,141,250,231,NY005048,MORRISANIA,CONVENTIONAL,NEW CONST,FEDERAL,0,205,206,958.5,4.68,0,495,495,2,0,2,16,"60,890",1.4,"60,890",1.4,"13,024","1,769,693",21.39%,354,"$3,742,711","$3,891",$549,E 169TH ST WASHINGTON AVE PARK AVE,BRONX,3,15,32,79,16,5/31/1963,,,,,74,37.00%,2024
NY005012670,267,267,385,385,NY005190,MORRISANIA AIR RIGHTS,TURNKEY,NEW CONST,FEDERAL,0,842,843,"3,790.00",4.5,0,"1,560","1,560",3,0,5,19–23–29,"274,300",6.3,"274,300",6.3,"64,435","11,316,800",23.49%,248,"$40,272,504","$10,584",$507,PARK AVE E 158TH ST E 161ST ST E 163RD ST,BRONX,"3, 4",15,"29, 32",79,16,1/1/1981,,PARTIALLY (1 STAIRHALL),,,444,55.85%,2024
NY005001210,121,121,244,244,NY005044,MOTT HAVEN,CONVENTIONAL,NEW CONST,FEDERAL,0,990,993,"4,625.00",4.67,0,"2,253","2,253",8,1,8,20–22,"417,367",9.58,"386,817",8.88,"78,477","9,236,613",18.80%,235,"$20,670,000","$4,456",$608,E 140TH ST E 144TH ST ALEXANDER AVE WILLIS AVE,BRONX,1,15,29,84,08,3/31/1965,,,,,326,35.17%,2024
NY005010470,047,047,580,580,NY005267B,PARKSIDE,CONVENTIONAL,NEW CONST,FEDERAL,0,878,879,"3,708.00",4.22,0,"1,604","1,604",14,0,20,6–7–14–15,"485,455",11.14,"453,178",10.4,"96,415","7,454,500",19.86%,144,"$9,676,316","$2,606",$550,ADEE AVE WHITE PLAINS RD ARNOW AVE BRONX PARK EAST,BRONX,11,15,36,80,12,6/12/1951,1980/07/01-ATP 5,,,,393,46.67%,2024
NY005000240,024,024,522,522,NY005216A,PATTERSON,CONVENTIONAL,NEW CONST,,0,"1,786","1,791","8,495.00",4.76,0,"3,794","3,794",15,0,25,6–13,"748,573",17.18,"702,358",16.12,"167,841","14,503,544",22.42%,221,"$20,731,000","$2,433",$585,MORRIS AVE THIRD AVE E 145TH ST E 139TH ST,BRONX,1,15,29,84,08,12/31/1950,1978/02/01-ATP 2,,,,685,40.11%,2024
NY005010390,039,039,586,586,NY005271A,PELHAM PARKWAY,CONVENTIONAL,NEW CONST,,0,"1,265","1,266","5,446.50",4.31,0,"2,287","2,287",23,0,38,6,"1,034,160",23.74,"967,252",22.21,"184,875","10,665,277",17.88%,96,"$15,295,753","$2,806",$625,PELHAM PKWY WALLACE AVE WILLIAMSBRIDGE RD MACE AVE,BRONX,11,15,"33, 36",80,13,6/30/1950,1980/10/01-ATP 7,,,,548,45.36%,2024
NY005010630,245,063,364,218,NY005179,RANDALL AVENUE-BALCOM AVENUE,TURNKEY,NEW CONST (ELD),,0,251,252,823.5,3.28,0,251,251,3,0,3,6,"230,000",5.28,"230,000",5.28,"48,175","1,582,410",20.95%,48,"$9,186,414","$10,757",$359,RANDALL AVE BALCOM AVE SCHLEY AVE BUTTRICK AVE,BRONX,10,14,34,82,13,10/31/1978,,EXCLUSIVELY,,,207,91.59%,2024
NY005012800,280,280,506,506,NY005205,SACK WERN,CONVENTIONAL,REHAB,,0,379,413,"1,755.50",4.63,0,783,783,7,1,7,6,"226,969",5.21,"226,969",5.21,"63,056","3,782,352",27.78%,150,"$8,699,894","$4,528",$688,BEACH AVE TAYLOR AVE NOBLE AVE ROSEDALE AVE,BRONX,9,14,34,85,18,5/12/1977,,,,,148,39.05%,2024
NY005020930,093,093,673,673,NY005384,SAINT MARY’S PARK,CONVENTIONAL,NEW CONST,,209,"1,002","1,007","4,510.00",4.5,439,"1,526","1,965",6,0,6,21,"588,851",13.52,"545,801",12.53,"57,006","8,922,933",9.68%,145,"$16,351,823","$3,607",$569,CAULDWELL AVE E 156TH ST WESTCHESTER AVE TRINITY AVE,BRONX,1,15,29,84,08,4/30/1959,,,,,370,39.61%,2024
NY005010450,045,045,368,368,NY005183B,SEDGWICK,CONVENTIONAL,NEW CONST,FEDERAL,0,783,786,"3,316.50",4.24,0,"1,401","1,401",7,0,7,14–15,"319,008",7.32,"319,008",7.32,"59,598","6,642,484",18.68%,191,"$8,397,841","$2,529",$563,UNDERCLIFF AVE W 174TH ST UNIVERSITY AVE,BRONX,5,15,31,77,14,3/23/1951,1972/06/29-FED TRAN,,,,351,46.37%,2024
NY005010670,067,067,222,222,NY005022,SOTOMAYOR HOUSES,CONVENTIONAL,NEW CONST,FEDERAL,0,"1,495","1,497","6,961.50",4.66,0,"3,000","3,000",28,3,28,7,"1,340,519",30.77,"1,340,519",30.77,"190,435","12,238,008",14.21%,97,"$17,963,549","$2,564",$576,WATSON AVE BRUCKNER BLVD SOUNDVIEW AVE LELAND AVE,BRONX,9,14,34,85,18,2/28/1955,,,,,619,43.20%,2024
NY005000710,071,071,537,537,NY005220H,SOUNDVIEW,CONVENTIONAL,NEW CONST,FEDERAL,0,"1,254","1,259","5,846.00",4.66,0,"2,657","2,657",13,2,26,7,"1,076,761",24.72,"1,076,761",24.72,"164,048","10,481,330",14.32%,107,"$13,445,000","$2,308",$532,ROSEDALE AVE LACOMBE AVE BRONX RIVER AVE SOUNDVIEW PK,BRONX,9,14,"29, 34",85,18,10/29/1954,1978/07/01-ATP 3,,,,541,44.45%,2024
NY005013080,223,308,344,344,NY005163,TELLER AVENUE-EAST 166TH STREET,TURNKEY,NEW CONST,FEDERAL,0,89,90,348.5,3.92,0,181,181,1,0,1,6,"27,481",0.63,"27,481",0.63,"12,354","816,812",44.95%,287,"$2,296,895","$6,363",$544,TELLER AVE E 167TH ST CLAY AVE E 166TH ST,BRONX,4,15,32,77,16,9/30/1971,,,,,41,47.67%,2024
NY005010630,063,063,218,218,NY005015,THROGGS NECK,CONVENTIONAL,NEW CONST,FEDERAL,0,"1,182","1,185","5,423.00",4.59,0,"2,467","2,467",29,2,64,3–7,"1,430,081",32.83,"1,430,081",32.83,"228,989","11,440,850",16.01%,75,"$15,541,569","$2,859",$545,RANDALL AVE CALHOUN AVE SAMPSON AVE BALCOM AVE,BRONX,10,14,34,82,13,11/27/1953,,,,,469,41.21%,2024
NY005010630,193,063,303,218,NY005098,THROGGS NECK ADDITION,CONVENTIONAL,NEW CONST,FEDERAL,0,287,287,"1,330.50",4.64,0,632,632,4,0,4,8–11,"384,899",8.84,"384,899",8.84,"39,315","2,755,918",10.21%,71,"$7,405,898","$5,523",$539,DEWEY AVE BALCOLM AVE RANDALL AVE THROGGS NECK HOUSES,BRONX,10,14,34,82,13,9/30/1971,,,,,127,46.01%,2024
NY005012270,287,180,577,577,NY005227,TWIN PARKS EAST (SITE 9),CONVENTIONAL,NEW CONST (ELD),FEDERAL,0,203,219,639.5,3.15,0,224,224,1,0,1,14,"71,490",1.64,"71,490",1.64,"11,388","1,505,284",15.93%,137,"$11,406,932","$16,520",$324,CLINTON AVE E 180TH ST PROSPECT AVE OAKLAND PL,BRONX,6,15,32,79,15,4/30/1982,,EXCLUSIVELY,YES,,180,88.67%,2024
NY005013410,341,341,762,762,NY005283,UNIVERSITY AVENUE REHAB,TURNKEY,REHAB,FEDERAL,0,228,230,"1,025.00",4.5,0,458,458,4,0,5,6,"77,898",1.79,"77,898",1.79,"43,696","2,798,894",56.09%,256,"$15,900,000","$15,377",$524,W BURNSIDE AVE UNIVERSITY AVE W TREMONT AVE ANDREWS AVE,BRONX,5,13,31,86,14,1/31/1985,,,YES,YES,107,47.98%,2024
NY005011410,141,141,231,231,NY005028,WEBSTER,CONVENTIONAL,NEW CONST,FEDERAL,0,604,606,"2,820.00",4.67,0,"1,453","1,453",5,1,5,21,"197,199",4.53,"197,199",4.53,"31,247","5,322,369",15.85%,321,"$12,227,114","$4,319",$579,E 169TH ST PARK AVE E 168TH ST WEBSTER AVE,BRONX,3,15,32,79,16,9/30/1965,,,,,218,37.39%,2024
NY005015300,360,530,780,780,NY005286,WEST FARMS ROAD REHAB,TURNKEY,REHAB,FEDERAL,0,207,208,879.5,4.25,0,429,429,4,0,7,6,"51,965",1.19,"51,965",1.19,"34,935","2,104,200",67.23%,361,"$14,480,678","$16,399",$581,FREEMAN ST JENNINGS ST WEST FARMS RD LONGFELLOW AVE,BRONX,"2, 3",14,32,85,17,8/13/1986,,,YES,YES,72,35.12%,2024
NY005015310,526,530,481,482,NY005318,WEST FARMS SQUARE CONVENTIONAL,CONVENTIONAL,REHAB,FEDERAL,0,20,20,85,4.25,0,43,43,1,0,1,5,"5,000",0.11,"5,000",0.11,"3,363","202,892",67.26%,391,"$1,558,811","$18,339",$654,E 167TH ST LONGFELLOW AVE WEST FARMS RD,BRONX,3,14,32,85,17,6/30/1994,,,YES,YES,4,20.00%,2024
NY005010450,246,045,365,368,NY005180,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,TURNKEY,NEW CONST (ELD),FEDERAL,0,134,148,441,3.29,0,149,149,1,0,1,12,"36,563",0.84,"36,563",0.84,"9,609","982,251",26.28%,177,"$4,380,000","$8,734",$308,W TREMONT AVE MONTGOMERY AVE PALISADE PL SEDGWICK AVE,BRONX,5,13,31,86,14,7/31/1973,,EXCLUSIVELY,,,118,88.06%,2024
NY005010730,156,073,267,267,NY005068,303 VERNON AVENUE,CONVENTIONAL,NEW CONST,,0,234,234,"1,101.00",4.71,0,480,480,1,0,1,24,"110,000",2.53,"110,000",2.53,"11,311","2,207,369",10.28%,190,"$4,703,702","$4,272",$543,VERNON AVE MARCUS GARVEY BLVD MYRTLE AVE,BROOKLYN,3,08,25,56,36,5/31/1967,,,,,96,44.24%,2024
NY005010310,031,031,524,524,NY005216C,ALBANY,CONVENTIONAL,NEW CONST,,0,817,829,"3,751.50",4.59,0,"1,708","1,708",6,0,6,14,"388,389",8.92,"388,389",8.92,"58,455","7,082,630",15.05%,191,"$8,951,000","$2,356",$618,ALBANY AVE SAINT MARKS AVE TROY AVE PARK PL,BROOKLYN,8,09,20,43,36,10/14/1950,1978/02/01-ATP 2,,,,320,40.97%,2024
NY005010310,085,031,524,524,NY005216C,ALBANY II,CONVENTIONAL,NEW CONST,,0,395,400,"1,824.50",4.62,0,848,848,3,0,3,13–14,"214,594",4.93,"214,594",4.93,"26,053","3,249,689",12.14%,172,"$4,666,000","$2,540",$605,BERGEN ST TROY AVE ALBANY HOUSES ALBANY AVE,BROOKLYN,8,09,20,56,36,2/7/1957,1978/02/01-ATP 2,,,,154,41.29%,2024
NY005011630,256,163,384,272,NY005189,ATLANTIC TERMINAL SITE 4B,TURNKEY,NEW CONST,,0,274,300,"1,155.00",4.22,0,493,493,1,0,1,31,"88,155",2.02,"88,155",2.02,"15,382","2,464,800",17.45%,244,"$10,797,972","$8,489",$651,CLERMONT AVE ATLANTIC AVE CARLTON AVE FULTON ST,BROOKLYN,2,07,25,57,35,4/30/1976,,,,,125,45.62%,2024
NY005020920,092,092,670,670,NY005368,BAY VIEW,CONVENTIONAL,NEW CONST,,340,"1,524","1,610","6,939.00",4.55,729,"2,495","3,224",23,2,23,8,"1,481,844",34.02,"1,459,244",33.5,"228,305","14,262,296",15.41%,95,"$19,575,470","$2,676",$606,SEAVIEW AVE E 102ND ST ROCKAWAY PKWY SHORE PKWY,BROOKLYN,18,08,19,59,46,6/7/1956,,,,,663,43.53%,2024
NY005010730,311,073,266,538,NY005255,BEDFORD-STUYVESANT REHAB,TURNKEY,REHAB,FEDERAL,0,81,85,370.5,4.57,0,181,181,3,0,5,4–6,"26,000",0.6,"26,000",0.6,"18,283","856,611",70.32%,302,"$5,219,763","$13,316",$538,THROOP AVE VERNON AVE MARCUS GARVEY BLVD HART ST,BROOKLYN,3,08,25,56,36,5/31/1983,,,YES,,35,43.75%,2024
NY005012430,243,243,353,353,NY005175,BORINQUEN PLAZA I,TURNKEY,NEW CONST,FEDERAL,0,505,509,"2,337.50",4.63,0,988,988,8,2,8,7,"250,875",5.76,"250,875",5.76,"96,902","4,544,080",38.63%,172,"$15,625,047","$6,556",$614,MANHATTAN AVE BOERUM ST BUSHWICK AVE VARET ST,BROOKLYN,1,07,18,53,34,2/28/1975,,PARTIALLY (2 BUILDINGS),,,266,55.88%,2024
NY005012430,271,243,390,353,NY005195,BORINQUEN PLAZA II,TURNKEY,NEW CONST,FEDERAL,0,424,425,"2,261.00",5.33,0,980,980,7,0,7,7,"184,000",4.22,"184,000",4.22,"61,115","4,223,000",33.21%,232,"$16,411,918","$7,244",$692,BOERUM ST HUMBOLDT ST SEIGEL ST BUSHWICK AVE,BROOKLYN,1,07,18,53,34,12/31/1975,,,,,172,42.26%,2024
NY005000560,056,056,212,212,NY005011,BREUKELEN,CONVENTIONAL,NEW CONST,FEDERAL,0,"1,585","1,595","7,427.50",4.69,0,"3,231","3,231",30,2,94,3–7,"2,830,416",64.98,"2,141,741",49.17,"360,423","14,297,000",12.73%,50,"$18,410,273","$2,464",$605,STANLEY AVE FLATLANDS AVE E 103RD ST WILLIAMS AVE,BROOKLYN,18,08,19,"58, 60",42,11/6/1952,,,,,607,39.93%,2024
NY005000650,065,065,213,213,NY005017,BREVOORT,CONVENTIONAL,NEW CONST,FEDERAL,0,892,896,"4,179.00",4.68,0,"1,739","1,739",13,1,26,7,"751,896",17.26,"687,188",15.78,"121,363","7,735,916",16.14%,101,"$11,831,887","$2,849",$638,BAINBRIDGE ST RALPH AVE FULTON ST PATCHEN AVE,BROOKLYN,3,08,25,56,41,8/10/1955,,,,,328,38.32%,2024
NY005012520,325,252,336,336,NY005277,BROWN,TURNKEY,NEW CONST (ELD),,0,200,200,700,3.5,0,218,218,2,0,2,6,"99,460",2.28,"99,460",2.28,"29,354","1,493,904",29.51%,96,"$13,425,060","$19,179",$411,EASTERN PKWY PROSPECT PL HOPKINSON AVE SAINT MARKS AVE,BROOKLYN,16,08,25,55,41,7/23/1985,,EXCLUSIVELY,YES,,173,88.72%,2024
NY005000160,016,016,512,512,NY005213D,BROWNSVILLE,CONVENTIONAL,NEW CONST,,0,"1,319","1,338","6,202.50",4.7,0,"2,810","2,810",27,0,46,3–6–7,"819,997",18.82,"732,841",16.82,"188,564","10,371,638",23.00%,149,"$12,898,000","$2,054",$611,SUTTER AVE DUMONT AVE MOTHER GASTON BLVD ROCKAWAY AVE,BROOKLYN,16,08,25,55,41,4/16/1948,1977/07/01-ATP 1,,,,443,35.47%,2024
NY005020860,086,086,430,430,NY005370,BUSHWICK,CONVENTIONAL,NEW CONST,,209,"1,217","1,220","5,661.50",4.65,454,"2,048","2,502",8,0,8,13–20,"697,736",16.02,"639,260",14.68,"78,768","11,288,105",11.29%,156,"$20,346,000","$3,599",$552,HUMBOLDT ST MOORE ST BUSHWICK AVE FLUSHING AVE,BROOKLYN,1,07,18,53,34,4/1/1960,,,,,564,48.87%,2024
NY005011660,166,166,288,288,NY005088,CAREY GARDENS,CONVENTIONAL,NEW CONST,,0,678,683,"3,076.00",4.54,0,"1,524","1,524",3,2,3,15–17,"364,406",8.37,"364,406",8.37,"58,078","6,234,149",15.94%,182,"$16,996,504","$5,476",$544,W 24TH ST NEPTUNE AVE W 22ND ST SURF AVE,BROOKLYN,13,08,23,46,47,11/30/1970,,,,,288,44.79%,2024
NY005011700,094,170,671,671,NY005363,CONEY ISLAND,CONVENTIONAL,NEW CONST,,0,530,534,"2,424.00",4.57,0,"1,029","1,029",5,0,5,14,"298,874",6.86,"239,429",5.5,"38,119","4,912,800",12.75%,150,"$7,728,534","$3,165",$631,SURF AVE W 32ND ST RIEGELMANN BRDWK W 29TH ST,BROOKLYN,13,08,23,46,47,2/25/1957,1995/07/13-PTA,,,,239,46.95%,2024
NY005011660,239,166,335,288,NY005161,CONEY ISLAND I (SITE 1B),TURNKEY,NEW CONST,FEDERAL,0,193,193,954.5,4.95,0,443,443,1,0,1,18,"93,061",2.14,"93,061",2.14,"14,078","1,876,990",15.13%,207,"$7,531,412","$7,829",$594,W 20TH ST W 21ST ST SURF AVE MERMAID AVE,BROOKLYN,13,08,23,46,47,5/31/1973,,,,,72,39.13%,2024
NY005011720,238,172,334,334,NY005157,CONEY ISLAND I (SITE 8),TURNKEY,NEW CONST,FEDERAL,0,121,125,603.5,4.99,0,275,275,1,0,2,14,"61,483",1.41,"61,483",1.41,"11,970","1,187,936",19.47%,195,"$5,853,893","$9,255",$540,W 35TH ST W 36TH ST SURF AVE MERMAID AVE,BROOKLYN,13,08,23,46,47,12/31/1973,,,,,39,39.39%,2024
NY005011700,216,170,328,278,NY005123,CONEY ISLAND I (SITES 4 & 5),TURNKEY,NEW CONST,FEDERAL,0,374,376,"1,867.00",4.99,0,918,918,1,1,5,17,"187,318",4.3,"187,318",4.3,"38,750","4,017,326",20.69%,213,"$16,603,000","$8,808",$645,MERMAID AVE W 25TH ST SURF AVE W 28TH ST,BROOKLYN,13,08,23,46,47,7/31/1974,,,,,132,37.08%,2024
NY005000690,069,069,223,223,NY005023,COOPER PARK,CONVENTIONAL,NEW CONST,FEDERAL,0,699,700,"3,275.50",4.69,0,"1,435","1,435",11,0,13,7,"528,967",12.14,"496,296",11.39,"86,767","5,878,957",16.40%,118,"$7,702,277","$2,346",$612,FROST ST MORGAN AVE KINGSLAND AVE MASPETH AVE,BROOKLYN,1,07,18,53,34,6/25/1953,,,,,319,47.68%,2024
NY005010700,070,070,536,536,NY005220G,CYPRESS HILLS,CONVENTIONAL,NEW CONST,FEDERAL,0,"1,440","1,444","6,593.00",4.58,0,"2,950","2,950",15,0,30,7,"1,264,130",29.02,"1,264,130",29.02,"223,364","12,338,237",17.67%,102,"$14,773,000","$2,247",$560,SUTTER AVE EUCLID AVE LINDEN BLVD FOUNTAIN AVE,BROOKLYN,5,08,19,60,42,5/25/1955,1978/07/01-ATP 3,,,,571,41.32%,2024
NY005010700,263,070,378,378,NY005171,EAST NEW YORK CITY LINE,TURNKEY,NEW CONST,FEDERAL,0,66,66,409,6.2,0,241,241,33,0,33,3,"84,400",1.94,"84,400",1.94,"26,943","719,300",31.92%,124,"$2,774,644","$6,784",$657,FOUNTAIN AVE HEGEMAN AVE LOGAN ST,BROOKLYN,5,08,19,60,42,3/31/1976,,,,,25,39.06%,2024
